-0.34	-0.37	-0.14338	0.94187	-0.42	0.3502	1.0
0.32667	0.63	0.73082	0.15178	-0.42	0.01028	1.0
-0.00667	-0.12	0.01132	0.01939	-0.42	0.3502	1.0
0.32667	0.38	0.24775	-0.05748	0.58	0.41739	1.0
0.32667	0.38	-0.02327	0.03434	-0.42	-0.23874	1.0
0.32667	0.13	0.12443	-0.05428	-0.42	0.3581	1.0
-0.00667	-0.12	-0.03538	-0.05748	0.58	-0.1083	1.0
-0.34	-0.12	-0.14936	0.21157	-0.42	0.49249	1.0
-0.00667	-0.12	-0.16906	0.36532	0.58	-0.24664	1.0
-0.00667	0.13	0.16412	-0.02182	0.58	0.09723	1.0
-0.00667	0.13	0.20835	-0.05428	0.58	-0.06877	1.0
-0.00667	0.13	0.22921	-0.04595	-0.42	-0.1083	1.0
-0.00667	0.13	0.14194	0.02665	-0.42	-0.13597	1.0
0.66	0.13	0.13727	-0.04019	-0.42	-0.21502	1.0
-0.34	-0.12	-0.01436	-0.05813	0.58	-0.20711	1.0
-0.00667	-0.12	-0.08121	-0.04852	-0.42	-0.1913	1.0
-0.00667	0.13	-0.09419	-0.05535	-0.42	0.3502	1.0
-0.00667	-0.12	-0.07945	-0.05492	-0.42	0.07352	1.0
-0.00667	0.13	-0.01072	-0.05748	-0.42	-0.1834	1.0
0.32667	0.13	0.09028	-0.05599	-0.42	-0.1083	1.0
-0.00667	-0.12	-0.01057	0.02152	-0.42	-0.06087	1.0
-0.00667	0.13	0.20645	-0.05236	-0.42	0.01028	1.0
0.32667	0.13	0.18266	-0.05684	-0.42	-0.1083	1.0
-0.00667	-0.12	0.1056	0.04501	0.58	0.34229	1.0
-0.00667	-0.12	-0.03392	-0.04745	0.58	0.32648	1.0
-0.34	-0.12	-0.04414	-0.04958	0.58	-0.25059	1.0
-0.00667	-0.12	-0.15038	0.04501	0.58	-0.20711	1.0
-0.34	-0.12	-0.03888	0.00359	-0.42	-0.04901	1.0
-0.00667	0.13	-0.03377	-0.00624	-0.42	0.74941	1.0
-0.34	-0.12	-0.01641	-0.0419	0.58	0.16443	1.0
-0.00667	0.13	0.131	-0.05065	0.58	-0.21502	1.0
0.32667	-0.12	-0.07318	-0.05449	-0.42	-0.24664	1.0
-0.00667	-0.12	0.00607	-0.05343	-0.42	-0.12016	1.0
-0.00667	0.13	-0.05581	-0.0498	0.58	-0.0253	1.0
-0.00667	0.13	-0.04414	-0.05642	-0.42	-0.1083	1.0
-0.00667	0.13	-0.04078	-0.05663	-0.42	-0.06087	1.0
-0.00667	-0.12	-0.119	0.04501	-0.42	-0.1913	1.0
-0.00667	-0.12	-0.15461	-0.04467	-0.42	-0.14783	1.0
-0.00667	-0.12	-0.03304	-0.05449	0.58	-0.04901	1.0
-0.00667	-0.12	-0.14542	-0.05471	0.58	-0.13992	1.0
-0.00667	-0.12	-0.05333	-0.05514	-0.42	0.41344	1.0
-0.00667	-0.12	-0.06982	-0.05684	-0.42	-0.21107	1.0
-0.00667	-0.12	0.03949	-0.0562	-0.42	-0.21107	1.0
-0.00667	-0.12	-0.02604	-0.05663	0.58	0.16443	1.0
-0.34	-0.12	-0.09901	-0.05385	0.58	0.2	1.0
-0.34	-0.37	-0.26918	-0.053	0.58	-0.12411	1.0
-0.00667	-0.12	-0.19957	-0.05642	0.58	-0.15968	1.0
-0.00667	0.13	-0.09668	-0.05492	0.58	-0.1834	1.0
-0.34	0.38	-0.21752	-0.01905	-0.42	-0.23874	1.0
0.32667	-0.12	0.06882	-0.05748	0.58	0.0498	1.0
